Distance,Calories
32.13,2.413
30.35,2.259
26.08,1.968
26.51,1.986
24.07,1.776
22.88,1.683
20.43,1.52
21.02,1.561
21.06,1.545
20.84,1.523
19.15,1.41
17.82,1.312
16.49,1.201
16.13,1.21
14.77,1.095
14.71,1.074
16.85,1.221
14.13,1.028
14.77,1.093
14.66,1.057
14.25,1.037
14.58,1.061
14.66,1.071
14.52,1.063
14.49,1.047
14.57,1.073
13.79,1.016
14.28,1.04
13.41,1.016
13.79,1.04
13.34,979
13.16,992
12.88,969
12.59,949
12.56,952
12.07,901
12.25,925
12.08,909
9.86,740
12.2,921
12.43,909
12.43,935
12.35,931
12.38,931
12.4,932
12.35,931
12.39,933
12.01,872
11.89,901
12.36,931
12.09,912
11.64,844
12.41,933
12.11,916
12.14,915
12.02,877
11.9,898
12.01,906
12.08,910
12.33,929
11.9,899
11.01,801
11.63,869
11.9,894
11.91,897
12.01,903
11.89,897
11.43,844
12.01,906
12.04,905
11.7,879
11.74,875
12.1,911
11.65,850
11.58,875
10.93,827
11.3,856
12.07,908
11.91,892
11.67,879
11.11,840
11.12,843
10.35,789
10.31,790
11.07,833
10.23,779
10.54,796
9.35,705
10.33,782
9.84,657
10.09,767
9.38,710
10,717
9.16,692
10.9,785
9.32,710
6.45,494
9.99,739
6.26,482
6.41,451
10.63,769
6.35,459
8.75,632
8.81,654
6.27,448
8.98,682
9.06,686
6.29,453
6.29,455
8.59,628
10.38,758
7.23,543
8.01,577
9.68,712
7.52,532
5.69,439
5.68,434
8.94,640
5.39,403
6.78,509
8.25,613
8.21,610
6.96,529
7.25,545
6.99,528
6.77,508
6.21,462
6.65,504
6.9,520
7.01,525
6.56,477
6.1,458
6.74,507
6.55,499
6.7,494
4.77,344
6.89,518
5.99,452
6.47,489
6.14,459
5.66,412
7.51,550
7.25,531
5.47,403
6.31,449
6.1,454
6.21,452
5.56,412
5.09,372
3.49,254
4.16,301
4.14,301
4.17,302
2.82,207
2.19,155
